ID,Na23,Fe57,Zn66,Rb85,Mn55,K39,Se82,P31,Cu65,Mg25,Sr88,As75,Cd114,Ca43,Co59,Mo98,S34,Li7
88,28.26554,19.673155,18.873194,40.484653,22.041824,6463.138,23.068975,5345.258,2.8098328,1332.3754,6.0545616,1.5731072,0.11736789,4585.587,0.27221918,1.752626,3663.9177,2.232826
108,77.56904,19.555906,21.999683,36.744534,22.025618,6015.2285,12.724875,5363.3213,2.7943285,1399.4354,6.3336782,1.6466377,0.10121734,4916.5513,0.2765224,1.3820441,3435.7825,2.911595
139,64.90727,19.859966,20.779297,36.514072,22.783594,6233.762,20.221731,5266.6074,2.6853008,1423.592,5.2826357,1.7640691,0.08886599,4448.163,0.29013398,1.3812056,3757.7202,2.672481
159,50.081264,20.032032,22.178368,43.92436,23.05883,6528.707,14.189299,5251.449,3.199618,1477.9069,5.1189103,1.939939,0.05774314,4511.521,0.28171888,0.7757199,2671.631,2.8450987
265,32.74111,18.843275,20.37709,44.28828,20.196552,6624.9297,17.090252,5336.248,2.8453944,1367.6268,5.7309256,1.6447896,0.17083868,3990.658,0.27906826,1.8914158,3987.1367,2.0444887
350,67.57323,19.739172,19.920958,46.12156,27.522276,6886.093,19.666866,5064.784,2.9621303,1373.1854,7.5441723,1.6157719,0.1189938,4724.7085,0.30817318,1.1228983,3879.0002,2.192432
351,43.481403,18.75525,22.947184,47.171543,20.785328,6874.826,25.343409,5091.9253,2.8491018,1446.4573,6.798114,1.6050045,0.14878054,3921.3728,0.29432887,1.0436645,3226.4758,1.3321751
403,48.24702,18.52067,21.476799,56.362137,30.486168,7833.926,18.44381,5321.991,2.7753966,1437.2549,5.3210073,1.7513164,0.11811438,3940.6355,0.27658018,1.5341935,3650.3003,1.6367712
410,33.864635,19.664877,23.900967,47.825138,22.620821,7315.5215,10.177116,5092.216,2.5288713,1324.9772,6.8956966,1.7798029,0.17434028,4280.6,0.31350163,1.1423773,2805.8794,2.2704322
424,33.5059,19.171675,19.96444,56.894493,23.474066,7673.837,15.185651,5423.662,2.8143287,1385.9149,6.768597,1.6579244,0.111418895,4160.5454,0.27180302,1.1971343,3176.7341,2.5834193
428,18.327618,19.797808,21.278597,48.74014,21.903645,6494.7163,7.9336677,4978.9614,2.6290097,1452.0763,5.9866,1.722327,0.2408137,4356.776,0.28705934,1.5641966,3237.2893,2.193275
430,43.076736,18.937355,23.077133,40.856197,34.657627,6160.629,5.298144,5090.4014,3.1199675,1290.3198,7.5346856,1.6617972,0.77018493,4137.5986,0.3151007,0.7565419,3285.8333,2.2990932
630,50.11004,20.396822,21.074648,45.997295,21.562096,7048.2183,25.877949,5200.352,2.55199,1436.7697,6.2803893,1.8207403,0.13219343,4543.2285,0.28357336,0.8950035,3665.8335,2.0276628
763,29.042002,19.675106,27.067327,40.32746,37.34564,6870.284,14.384611,5279.091,3.2350647,1455.4257,5.706345,1.5449239,0.51085424,3985.7659,0.32229605,1.0042133,4161.521,1.266986
765,19.275873,18.642832,24.50864,38.698765,38.486774,6500.0464,12.457957,5232.5747,2.6982963,1430.5905,6.6365557,1.6794564,0.8525248,3768.3691,0.29597908,0.74442977,3704.9856,1.4138782
766,45.025955,18.857439,24.347065,39.782074,35.38692,6523.128,11.39797,4886.178,2.89084,1318.643,6.916149,1.5412313,0.39789575,3726.6812,0.31408033,1.6297894,3602.2866,1.6419575
768,27.928274,18.584694,26.596552,38.929874,41.504898,6890.0605,8.983604,5264.8115,3.1768918,1441.0419,7.493803,1.6664255,0.9307783,4500.664,0.29422408,0.85617113,4036.6816,1.7442795
772,19.249979,20.21741,25.12751,35.65623,39.260254,5972.927,12.604879,5079.7437,2.8371365,1348.8134,8.399899,1.3308682,0.62293535,4440.128,0.3407987,0.66786575,4441.3896,2.0109627
801,40.31995,18.780901,19.030508,45.056374,26.95121,6249.7603,21.396887,4870.0693,2.818893,1353.3583,4.98136,1.7491522,0.08994202,3841.261,0.29105788,1.2846562,3651.2002,2.2847426
870,46.167053,19.591345,20.022778,42.42349,27.746859,6737.199,13.500243,4984.6416,2.7995594,1279.9354,5.5080323,1.8366343,0.11662538,4470.337,0.29062477,1.1835166,3449.3123,2.5122244
